RELATÓRIO POR CULTURAS DO SISTEMA ASPA/AGROGEO-ANO2019;;;;;;
ESTADO DO RIO DE JANEIRO;;;;;;
;;;;;;
CULTURAS/MUNICIPIOS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);
GRUPO : Fruticultura;;;;;;
CULTURA : ABACATE;;;;;;FATURAMENTO BRUTO(R$)
Porto Real ;4;73,8;11,5;3,3169;6,42;372.925,00
Quatis ;4;73;12;2,7627;6,08;296.550,00
Rio das Flores ;4;18,15;1,4;1,7076;12,96;244.785,00
Rio das Ostras ;7;33,2;10,2;1,8438;3,25;201.675,00
Santo Antônio de Pádua ;22;140,4;13;2,0692;10,8;30.992,50
São Fidélis ;33;138,72;21,28;0,677;6,52;61.213,00
Seropédica ;129;2.997,00;727;0,9914;4,12;290.520,00
Tanguá ;12;120,9;10;1,0382;12,09;93.911,50
Três Rios ;4;41,82;4,6;1,7319;9,09;2.971.150,00
Valença ;23;509,65;92,04;3,3006;5,54;125.515,00
TOTAL BANANA ;1.035;14.480,30;2.143,67;1,8856;6,75;72.427,40
CULTURA : BANANA NANICA;;;;;;1.682.166,00
Bom Jardim ;170;946;75;0,6194;12,61;27.304.348,80
Bom Jesus do Itabapoana ;4;55,5;4,9;0,5143;11,33;
Cachoeiras de Macacu ;30;236;23,7;0,914;9,96;585.970,00
Campos dos Goytacases ;54;253;24,5;1,1762;10,33;28.545,00
Cordeiro ;2;45;3,6;1,1667;12,5;215.700,00
Duque de Caxias ;15;311;51;2,5828;6,1;297.570,00
Engenheiro Paulo de Frontin ;15;86,5;10,7;1,7526;8,08;52.500,00
Japeri ;65;583;57;0,7786;10,23;803.250,00
Macaé ;38;688;109,1;0,4798;6,31;151.600,00
Niterói ;3;33;3;1,95;11;453.900,00
Nova Friburgo ;84;1.214,45;102;1,7422;11,91;330.100,00
Nova Iguaçu ;135;777;115;0,757;6,76;64.350,00
Pinheiral ;13;423,5;36,3;1,8809;11,67;2.115.770,00
Piraí ;30;1.894,20;239,61;1,7013;7,91;588.170,00
Queimados ;22;102,5;6,02;0,9268;17,03;796.561,00
Rio Bonito ;70;1.785,00;124;0,8479;14,4;3.222.577,00
Rio Claro ;8;1.484,73;108,7;2,0034;13,66;95.000,00
Rio de Janeiro ;45;629,73;54,6;0,877;11,53;1.513.500,00
Santa Maria Madalena ;24;7.960,57;568,52;1,4079;14;2.974.494,50
São Gonçalo ;15;88;8;1,9195;11;552.282,00
Silva Jardim ;52;1.510,00;120;0,7868;12,58;11.207.684,10
Sumidouro ;48;2.171,20;158;1,0684;13,74;168.916,00
Trajano de Morais ;92;3.812,00;317;1,5497;12,03;1.188.000,00
Varre-Sai ;3;36,5;6;0,9975;6,08;2.319.752,00
Vassouras ;7;40,1;3,6;2,2057;11,14;5.907.440,00
TOTAL BANANA NANICA ;1.044;27.166,48;2.329,85;1,3163;11,66;36.410,00
CULTURA : BANANA PRATA;;;;;;88.450,00
Armação dos Búzios ;4;36,3;3;2,8711;12,1;35.758.491,60
Bom Jardim ;85;242;24;0,8986;10,08;
Cabo Frio ;7;88;9;2,777;9,78;104.220,00
Cachoeiras de Macacu ;70;1.574,00;147;1,0175;10,71;217.470,00
Campos dos Goytacases ;56;251;24,8;1,6508;10,12;244.375,00
Carmo ;5;14,12;1,22;1,6357;11,57;1.601.600,00
Cordeiro ;2;72;6,3;1,3;11,43;414.350,00
Duas Barras ;55;811;61,6;1,434;13,17;23.095,70
Duque de Caxias ;20;639;90,5;3,3375;7,06;93.600,00
Engenheiro Paulo de Frontin ;19;160,5;18,35;1,9414;8,75;1.162.950,00
Iguaba Grande ;3;20,1;2;3,3159;10,05;2.132.650,00
Itaperuna ;2;120,9;9,4;1,3955;12,86;311.600,00
Japeri ;99;850;69;0,867;12,32;66.650,00
Laje do Muriae ;3;29,2;1,75;1,8527;16,69;168.720,00
Macaé ;47;640;112,11;0,5287;5,71;736.940,00
Mangaratiba ;240;20.204,00;2.830,00;1,5112;7,14;54.100,00
Maricá ;30;136,12;19,5;0,8589;6,98;338.350,00
Natividade ;1;16,58;1;1,3718;16,58;30.532.000,00
Niterói ;2;16;2;2,5835;8;116.918,00
Nova Friburgo ;60;675,3;60;2,2019;11,26;22.745,00
Nova Iguaçu ;96;499;78;0,8718;6,4;41.336,00
Paraíba do Sul ;12;311,3;28,49;2,0147;10,93;1.486.975,00
Pinheiral ;13;753,3;108,22;2,4558;6,96;435.010,00
Piraí ;30;801,25;133,08;2,2029;6,02;627.183,00
Queimados ;22;113,75;8,72;0,9217;13,04;1.849.935,00
Rio Bonito ;52;1.032,00;86;1,0233;12;1.765.062,50
Rio Claro ;14;591,45;136,9;1,8593;4,32;104.839,50
Rio das Flores ;4;7,5;1,2;1,722;6,25;1.056.000,00
Rio de Janeiro ;103;3.257,60;417,72;1,1421;7,8;1.099.666,00
Santa Maria Madalena ;10;2.640,00;240;1,8164;11;12.915,00
São Gonçalo ;10;48;6;2,4345;8;3.720.652,00
São José do Vale do Rio Preto ;12;150;12;1,2007;12,5;4.795.296,00
São Pedro da Aldeia ;15;150,6;15;3,2967;10,04;116.856,00
Saquarema ;210;2.660,00;502;1,1664;5,3;180.110,00
Silva Jardim ;43;771;142;1,0759;5,43;496.480,00
Sumidouro ;112;2.520,00;252;1,3822;10;3.102.500,00
Trajano de Morais ;51;1.993,46;165,6;2,0303;12,04;829.500,00
Vassouras ;14;99;9,65;2,2616;10,26;3.483.200,00
TOTAL BANANA PRATA ;1.633;44.995,33;5.835,11;1,5072;7,71;4.047.347,00
CULTURA : CAJU;;;;;;223.900,00
São Pedro da Aldeia ;1;4,7;0,6;1,9064;7,83;67.817.096,70
TOTAL CAJU ;1;4,7;0,6;1,9064;7,83;
CULTURA : CAQUI;;;;;;8.960,00
Cordeiro ;1;570;19;3,1842;30;8.960,00
Duas Barras ;14;469;22,5;1,1284;20,84;
Mangaratiba ;28;312;28;2,0353;11,14;1.815.000,00
Nova Friburgo ;41;929;41;2,1413;22,66;529.200,00
Rio de Janeiro ;59;655;40;1,4977;16,38;635.000,00
São Gonçalo ;11;51;7,5;2,4904;6,8;1.989.300,00
São José do Vale do Rio Preto ;10;6.150,00;205;0,5177;30;981.000,00
Sumidouro ;123;4.630,00;198;2,3991;23,38;127.010,00
Trajano de Morais ;24;170;17;2,3265;10;3.183.600,00
Valença ;2;12,1;0,6;3,6157;20,17;11.107.940,00
Varre-Sai ;6;27;10;2,5;2,7;395.500,00
TOTAL CAQUI ;319;13.975,10;588,6;1,4937;23,74;43.750,00
CULTURA : COCO VERDE;;;;;;67.500,00
Aperibé ;6;80;5;1,34;16;20.874.800,00
Araruama ;18;2.193,00;80;1,7277;27,41;
Armação dos Búzios ;2;16,5;1;2,9509;16,5;107.200,00
Cabo Frio ;5;129;9;2,8589;14,33;3.788.850,00
Cachoeiras de Macacu ;13;619;88;1,4661;7,03;48.690,00
Campos dos Goytacases ;54;158;12,2;1,2703;12,95;368.800,00
Carapebus ;3;38,5;3,5;1,0279;11;907.500,00
