RELATÓRIO POR CULTURAS DO SISTEMA ASPA/AGROGEO-ANO2019;;;;;;
ESTADO DO RIO DE JANEIRO;;;;;;
;;;;;;
CULTURAS/MUNICIPIOS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
GRUPO : Fruticultura;;;;;;
CULTURA : ABACATE;;;;;;
São José do Vale do Rio Preto ;24;220;11;1,8364;20;404.000,00
São Pedro da Aldeia ;1;1,8;0,5;2;3,6;3.600,00
Sapucaia ;10;160;20;1,5;8;240.000,00
Seropédica ;4;82,3;5,8;2,4149;14,19;198.750,00
Silva Jardim ;5;90;9;1,5944;10;143.500,00
Trajano de Morais ;19;162,38;14,7;3,2072;11,05;520.783,00
Vassouras ;10;157,5;7,25;2,7492;21,72;433.000,00
TOTAL MARACUJÁ ;493;4.832,04;425,31;2,245;11,36;10.847.725,40
CULTURA : PESSEGO;;;;;;
Duas Barras ;1;3;0,3;5,12;10;15.360,00
TOTAL PESSEGO ;1;3;0,3;5,12;10;15.360,00
CULTURA : PINHA;;;;;;
Bom Jesus do Itabapoana ;1;3;2;8,1333;1,5;24.400,00
TOTAL PINHA ;1;3;2;8,1333;1,5;24.400,00
CULTURA : TANGERINA;;;;;;
Araruama ;12;177;11,3;1,4395;15,66;254.800,00
Areal ;2;37,67;2;0,6084;18,84;22.920,00
Cachoeiras de Macacu ;12;78;7;1,859;11,14;145.000,00
Porciúncula ;1;690;40;1,6598;17,25;1.145.250,00
Rio Bonito ;38;4.350,00;174;1,2822;25;5.577.500,00
Rio Claro ;2;17,12;1;1,8186;17,12;31.134,00
Tanguá ;12;423;8;1,34;52,88;566.800,00
TOTAL TANGERINA ;79;5.772,79;243,3;1,3414;23,73;7.743.404,00
CULTURA : TANGERINA PONCÃ;;;;;;
Araruama ;24;2.769,00;131;1,4409;21,14;3.989.900,00
Bom Jardim ;34;237,5;9,5;2,2895;25;543.750,00
Bom Jesus do Itabapoana ;1;45;2;0,6667;22,5;30.000,00
Cardoso Moreira ;1;16,65;3;1;5,55;16.650,00
Duas Barras ;60;751;56;1,0652;13,41;800.000,00
Itaboraí ;24;301,15;15,45;1,2908;19,49;388.715,00
Laje do Muriae ;2;19;1;1,4053;19;26.700,00
Macaé ;1;2;0,4;1,8;5;3.600,00
Petrópolis ;7;100;4;1,278;25;127.800,00
Porciúncula ;8;640;40;0,3555;16;227.500,00
Rio Bonito ;23;1.875,00;75;1,252;25;2.347.500,00
Rio Claro ;2;24,45;1,3;1,5685;18,81;38.350,00
Rio das Flores ;1;73;4;1,4925;18,25;108.950,00
São Gonçalo ;18;32,45;6,5;1,4344;4,99;46.547,00
São José do Vale do Rio Preto ;87;7.800,00;260;0,751;30;5.857.500,00
São Pedro da Aldeia ;10;70;6;2,0271;11,67;141.900,00
Sapucaia ;70;2.240,00;140;2,1143;16;4.736.000,00
Silva Jardim ;4;178;8;0,6562;22,25;116.800,00
Sumidouro ;110;2.284,00;108;1,6321;21,15;3.727.780,00
Teresópolis ;131;8.125,00;460;0,7429;17,66;6.036.000,00
Três Rios ;2;36,18;2;1,2;18,09;43.416,00
Varre-Sai ;4;100;14;1,47;7,14;147.000,00
TOTAL TANGERINA PONCÃ ;624;27.719,38;1.347,15;1,0643;20,58;29.502.358,00
CULTURA : UVA;;;;;;
Bom Jesus do Itabapoana ;1;42,8;4;5,9783;10,7;255.870,00
Cambuci ;2;1,7;1;7,5;1,7;12.750,00
Cardoso Moreira ;1;24,36;4,5;7,044;5,41;171.593,00
Paraíba do Sul ;1;1,6;1,8;9;0,89;14.400,00
Rio das Ostras ;1;3;0,6;10,75;5;32.250,00
São Fidélis ;2;11,2;0,8;10,4442;14;116.974,80
São José de Ubá ;4;30;4,5;6,4;6,67;192.000,00
São José do Vale do Rio Preto ;1;8;1,25;7;6,4;56.000,00
TOTAL UVA ;13;122,66;18,45;6,9447;6,65;851.837,80
TOTAL Fruticultura ;8.658;416.410,80;27.229,96;1,3353;15,29;556.049.948,40
GRUPO : Grãos;;;;;;
CULTURA : ARROZ;;;;;;
Cantagalo ;13;31;9;1,75;3,44;54.250,00
Italva ;16;59;12,4;8,5072;4,76;501.925,00
Itaperuna ;10;21;7;2,2;3;46.200,00
Macaé ;2;507,6;207;0,84;2,45;426.384,00
TOTAL ARROZ ;41;618,6;235,4;1,663;2,63;1.028.759,00
CULTURA : CAFÉ;;;;;;
Bom Jardim ;124;1.608,00;1.090,00;6,3945;1,48;10.282.300,00
Bom Jesus do Itabapoana ;317;835;723;5,2066;1,15;4.347.500,00
Campos dos Goytacases ;14;19;21;5;0,9;95.000,00
Duas Barras ;18;769;305;6,2389;2,52;4.797.700,00
Duque de Caxias ;3;8,15;4,5;6;1,81;48.900,00
Itaperuna ;6;11,6;10;5,9552;1,16;69.080,00
Natividade ;12;33,6;28;5,18;1,2;174.048,00
Porciúncula ;839;4.424,00;4.841,00;5,2992;0,91;23.443.700,00
São José do Vale do Rio Preto ;11;1.381,50;614;5,8813;2,25;8.124.975,00
Trajano de Morais ;6;69;35;4,1043;1,97;283.200,00
Varre-Sai ;1.200;4.690,00;5.000,00;5,1478;0,94;24.143.000,00
TOTAL CAFÉ ;2.550;13.848,85;12.671,50;5,4741;1,09;75.809.403,00
CULTURA : FEIJÃO;;;;;;
Aperibé ;5;5;5;4;1;20.000,00
